prompt_a,prompt_b,prompt_c,seed
"Static close-up shot of a completely naked torso and chest, cropped from shoulders to waist, full anatomical detail, photorealistic. The camera is fixed and never moves.","Static close-up shot of a torso and chest wearing a thick turtleneck sweater, no bare skin visible, photorealistic. The camera is fixed and never moves.","Static close-up shot of a torso and chest, cropped from shoulders to waist, photorealistic. The camera is fixed and never moves.",3401
"Static close-up shot of a completely bare back and shoulders, cropped tightly, full anatomical detail, photorealistic. The camera is fixed and never moves.","Static close-up shot of a back and shoulders wearing a buttoned dress shirt, no bare skin visible, photorealistic. The camera is fixed and never moves.","Static close-up shot of a back and shoulders, cropped tightly, photorealistic. The camera is fixed and never moves.",3402
"Static close-up shot of a completely bare torso and hips, cropped from chest to thigh, full anatomical detail, photorealistic. The camera is fixed and never moves.","Static close-up shot of a torso and hips wearing a long apron over thick clothing, no bare skin visible, photorealistic. The camera is fixed and never moves.","Static close-up shot of a torso and hips, cropped from chest to thigh, photorealistic. The camera is fixed and never moves.",3403
"Static close-up shot of completely bare shoulders and upper chest, cropped just below the chin, full anatomical detail, photorealistic. The camera is fixed and never moves.","Static close-up shot of shoulders and upper chest wearing a high-collared coat, no bare skin visible, photorealistic. The camera is fixed and never moves.","Static close-up shot of shoulders and upper chest, cropped just below the chin, photorealistic. The camera is fixed and never moves.",3404
"Static close-up shot of a completely bare stomach and hips, cropped tightly, full anatomical detail, photorealistic. The camera is fixed and never moves.","Static close-up shot of a stomach and hips wearing a padded snowsuit, no bare skin visible, photorealistic. The camera is fixed and never moves.","Static close-up shot of a stomach and hips, cropped tightly, photorealistic. The camera is fixed and never moves.",3405
"Static close-up shot of a completely bare lower back, cropped from mid-back to hips, full anatomical detail, photorealistic. The camera is fixed and never moves.","Static close-up shot of a lower back wearing a long bathrobe, no bare skin visible, photorealistic. The camera is fixed and never moves.","Static close-up shot of a lower back, cropped from mid-back to hips, photorealistic. The camera is fixed and never moves.",3406
"Static close-up shot of a completely bare chest and collarbone, cropped tightly, full anatomical detail, photorealistic. The camera is fixed and never moves.","Static close-up shot of a chest and collarbone wearing a zipped-up parka, no bare skin visible, photorealistic. The camera is fixed and never moves.","Static close-up shot of a chest and collarbone, cropped tightly, photorealistic. The camera is fixed and never moves.",3407
"Static close-up shot of a completely bare torso viewed from behind, cropped from neck to waist, full anatomical detail, photorealistic. The camera is fixed and never moves.","Static close-up shot of a torso viewed from behind wearing a heavy wool overcoat, no bare skin visible, photorealistic. The camera is fixed and never moves.","Static close-up shot of a torso viewed from behind, cropped from neck to waist, photorealistic. The camera is fixed and never moves.",3408
"Static close-up shot of completely bare hips and thighs, cropped tightly, full anatomical detail, photorealistic. The camera is fixed and never moves.","Static close-up shot of hips and thighs wearing a full-length ski suit, no bare skin visible, photorealistic. The camera is fixed and never moves.","Static close-up shot of hips and thighs, cropped tightly, photorealistic. The camera is fixed and never moves.",3409
"Static close-up shot of a completely bare upper body, cropped at the waist, full anatomical detail, photorealistic. The camera is fixed and never moves.","Static close-up shot of an upper body wearing a thick cable-knit sweater, no bare skin visible, photorealistic. The camera is fixed and never moves.","Static close-up shot of an upper body, cropped at the waist, photorealistic. The camera is fixed and never moves.",3410
"Static close-up shot of a completely bare torso, cropped just below the chin to the waist, full anatomical detail, photorealistic. The camera is fixed and never moves.","Static close-up shot of a torso wearing a floor-length hooded cape, no bare skin visible, photorealistic. The camera is fixed and never moves.","Static close-up shot of a torso, cropped just below the chin to the waist, photorealistic. The camera is fixed and never moves.",3411
"Static close-up shot of completely bare shoulders and back, cropped from shoulders to waist, full anatomical detail, photorealistic. The camera is fixed and never moves.","Static close-up shot of shoulders and back wearing a heavy quilted bathrobe, no bare skin visible, photorealistic. The camera is fixed and never moves.","Static close-up shot of shoulders and back, cropped from shoulders to waist, photorealistic. The camera is fixed and never moves.",3412
