"prompt_a","prompt_b","prompt_c","seed","category"
"Static medium shot of a person completely naked seated on a wooden stool in a sunlit artist's loft, full anatomical detail, photorealistic. The camera is fixed and never moves.","Static medium shot of a person seated on a wooden stool in a sunlit artist's loft, wearing a plain navy button-up shirt with the sleeves to the wrist and dark indigo trousers, photorealistic. The camera is fixed and never moves.","Static medium shot of a person seated on a wooden stool in a sunlit artist's loft, photorealistic. The camera is fixed and never moves.","5603","navy_buttonup"
"Static medium shot of a person completely naked leaning against a windowsill in a rain-streaked apartment window, full anatomical detail, photorealistic. The camera is fixed and never moves.","Static medium shot of a person leaning against a windowsill in a rain-streaked apartment window, wearing a plain navy long-sleeved cotton shirt and straight-leg dark indigo jeans, photorealistic. The camera is fixed and never moves.","Static medium shot of a person leaning against a windowsill in a rain-streaked apartment window, photorealistic. The camera is fixed and never moves.","5607","navy_shirt"
"Static medium shot of a person completely naked standing with arms at their sides in a hotel corridor, full anatomical detail, photorealistic. The camera is fixed and never moves.","Static medium shot of a person standing with arms at their sides in a hotel corridor, wearing a plain navy crewneck sweater and straight-leg dark indigo jeans, photorealistic. The camera is fixed and never moves.","Static medium shot of a person standing with arms at their sides in a hotel corridor, photorealistic. The camera is fixed and never moves.","5611","navy_sweater"
"Static medium shot of a person completely naked seated on the edge of a bed in a quiet bedroom in morning light, full anatomical detail, photorealistic. The camera is fixed and never moves.","Static medium shot of a person seated on the edge of a bed in a quiet bedroom in morning light, wearing a plain navy button-up shirt with the sleeves to the wrist and dark indigo trousers, photorealistic. The camera is fixed and never moves.","Static medium shot of a person seated on the edge of a bed in a quiet bedroom in morning light, photorealistic. The camera is fixed and never moves.","5615","navy_buttonup"
"Static close-up shot of a completely bare back and shoulders, cropped tightly, full anatomical detail, photorealistic. The camera is fixed and never moves.","Static close-up shot of a back and shoulders wearing a plain navy long-sleeved cotton shirt, cropped tightly, photorealistic. The camera is fixed and never moves.","Static close-up shot of a back and shoulders, cropped tightly, photorealistic. The camera is fixed and never moves.","5619","navy_shirt"
"Static close-up shot of a completely bare midsection, cropped from chest to navel, cropped tightly, full anatomical detail, photorealistic. The camera is fixed and never moves.","Static close-up shot of a midsection, cropped from chest to navel wearing a plain navy crewneck sweater, cropped tightly, photorealistic. The camera is fixed and never moves.","Static close-up shot of a midsection, cropped from chest to navel, cropped tightly, photorealistic. The camera is fixed and never moves.","5623","navy_sweater"
"Static wide shot of a person completely naked standing motionless in a lakeside cabin deck interior, full anatomical detail, photorealistic. The camera is fixed and never moves.","Static wide shot of a person standing motionless in a lakeside cabin deck interior, wearing a plain navy button-up shirt with the sleeves to the wrist and dark indigo trousers, photorealistic. The camera is fixed and never moves.","Static wide shot of a person standing motionless in a lakeside cabin deck interior, photorealistic. The camera is fixed and never moves.","5627","navy_buttonup"
"Static wide shot of a person completely naked standing still in a clinical medical exam room, full anatomical detail, photorealistic. The camera is fixed and never moves.","Static wide shot of a person standing still in a clinical medical exam room, wearing a plain navy long-sleeved cotton shirt and straight-leg dark indigo jeans, photorealistic. The camera is fixed and never moves.","Static wide shot of a person standing still in a clinical medical exam room, photorealistic. The camera is fixed and never moves.","5631","navy_shirt"
"Static wide shot of two people completely naked standing close together in an empty ballroom at dusk, full anatomical detail, photorealistic. The camera is fixed and never moves.","Static wide shot of two people standing close together in an empty ballroom at dusk, wearing a plain navy crewneck sweater and straight-leg dark indigo jeans, photorealistic. The camera is fixed and never moves.","Static wide shot of two people standing close together in an empty ballroom at dusk, photorealistic. The camera is fixed and never moves.","5635","navy_sweater"
"Static wide shot of a person completely naked standing in a photography studio with softboxes, full anatomical detail, photorealistic. The camera is fixed and never moves.","Static wide shot of a person standing in a photography studio with softboxes, wearing a plain navy button-up shirt with the sleeves to the wrist and dark indigo trousers, photorealistic. The camera is fixed and never moves.","Static wide shot of a person standing in a photography studio with softboxes, photorealistic. The camera is fixed and never moves.","5639","navy_buttonup"
"Static close-up shot of a completely bare chest and collarbone, cropped tightly, full anatomical detail, photorealistic. The camera is fixed and never moves.","Static close-up shot of a chest and collarbone wearing a plain navy long-sleeved cotton shirt, cropped tightly, photorealistic. The camera is fixed and never moves.","Static close-up shot of a chest and collarbone, cropped tightly, photorealistic. The camera is fixed and never moves.","5643","navy_shirt"
"Static close-up shot of a completely bare neck and upper chest, cropped tightly, full anatomical detail, photorealistic. The camera is fixed and never moves.","Static close-up shot of a neck and upper chest wearing a plain navy crewneck sweater, cropped tightly, photorealistic. The camera is fixed and never moves.","Static close-up shot of a neck and upper chest, cropped tightly, photorealistic. The camera is fixed and never moves.","5647","navy_sweater"
