prompt_a,prompt_b,prompt_c,seed
"In a medium close-up, Queen Elizabeth II sits with knitting needles in her lap beside a sitting-room lamp, a small pearl brooch at her collar. The shot holds perfectly still.","In a medium close-up, a heavyset, grey-haired woman sits with the same knitting needles beside the same lamp. The shot holds perfectly still.","In a medium close-up, someone sits with knitting needles beside a lamp. The shot holds perfectly still.",7961
"Close to camera, Queen Elizabeth II presses a wax seal onto a folded letter at her study desk, a signet ring on one gloved finger. The camera does not move.","Close to camera, a thin, dark-haired woman presses the same wax seal onto the same letter, bare-handed. The camera does not move.","Close to camera, someone presses a wax seal onto a folded letter. The camera does not move.",7962
"In a tight medium shot, Queen Elizabeth II sits for a formal portrait, hands folded in her lap, a modest tiara catching the studio light. Camera locked in place, unmoving.","In a tight medium shot, a broad-shouldered woman sits for the same portrait, hands folded, no headpiece at all. Camera locked in place, unmoving.","In a tight medium shot, the sitter sits for a formal portrait with hands folded. Camera locked in place, unmoving.",7963
"Framed in medium close-up, Queen Elizabeth II leans forward to light a small candle in a stone chapel vestry, a black lace veil over her hair. The frame stays locked throughout.","Framed in medium close-up, a slight, olive-skinned woman leans forward to light the same candle in the same vestry, bareheaded. The frame stays locked throughout.","Framed in medium close-up, a churchgoer leans forward to light a candle in a vestry. The frame stays locked throughout.",7964
"In a close-up under soft indoor light, Queen Elizabeth II brushes dust from the spine of an old atlas on a library shelf, reading glasses pushed up on her head. Static shot, no camera movement.","In a close-up under soft indoor light, a stout, bespectacled woman brushes dust from the same atlas on the same shelf. Static shot, no camera movement.","In a close-up under soft indoor light, a librarian brushes dust from the spine of an old atlas. Static shot, no camera movement.",7965
"In a medium close-up, Queen Elizabeth II plucks a single string on a harp in a quiet music room, a pearl ring on the plucking hand. The camera remains perfectly still.","In a medium close-up, a lanky, dark-haired woman plucks the same string on the same harp, bare-handed. The camera remains perfectly still.","In a medium close-up, a musician plucks a single string on a harp. The camera remains perfectly still.",7966
"Close to camera, Queen Elizabeth II tries on a wide-brimmed hat before a dressing-room mirror, tilting her head to check the angle. Not a single camera movement occurs.","Close to camera, a heavyset, red-haired woman tries on the same hat before the same mirror. Not a single camera movement occurs.","Close to camera, someone tries on a hat before a dressing-room mirror. Not a single camera movement occurs.",7967
"In a tight medium shot, Queen Elizabeth II examines a rare stamp through a jeweler's loupe at her study desk, a small diamond ring visible. The camera is fixed and never moves.","In a tight medium shot, a wiry, grey-haired woman examines the same stamp through the same loupe, bare-handed. The camera is fixed and never moves.","In a tight medium shot, a collector examines a rare stamp through a loupe. The camera is fixed and never moves.",7968
"Framed in medium close-up, Queen Elizabeth II offers her open palm to a corgi seated at her feet in a sitting room, pearl bracelet sliding on her wrist. The shot holds perfectly still.","Framed in medium close-up, a broad, ruddy-faced woman offers her open palm to the same corgi in the same sitting room. The shot holds perfectly still.","Framed in medium close-up, someone offers an open palm to a dog seated at their feet. The shot holds perfectly still.",7969
"In a close-up under soft indoor light, Queen Elizabeth II reaches up into an apple tree in a walled kitchen garden, sunhat shading her eyes. The camera does not move.","In a close-up under soft indoor light, a young, freckled woman reaches up into the same apple tree in the same garden, bareheaded. The camera does not move.","In a close-up under soft indoor light, a gardener reaches up into an apple tree. The camera does not move.",7970
"In a medium close-up, Queen Elizabeth II turns the pages of a hymnal in a chapel pew, a modest cross pendant at her throat. Camera locked in place, unmoving.","In a medium close-up, a heavyset, grey-bobbed woman turns the same pages of the same hymnal in the same pew. Camera locked in place, unmoving.","In a medium close-up, a worshipper turns the pages of a hymnal in a pew. Camera locked in place, unmoving.",7971
"Close to camera, Queen Elizabeth II presses an official seal onto a document at a palace office desk, a small enamel pin on her lapel. The frame stays locked throughout.","Close to camera, a stout, dark-haired woman presses the same seal onto the same document at the same desk. The frame stays locked throughout.","Close to camera, an official presses a seal onto a document at a desk. The frame stays locked throughout.",7972
"In a tight medium shot, Queen Elizabeth II straightens a large gilt picture frame in a long portrait gallery, gloved hand steadying the corner. Static shot, no camera movement.","In a tight medium shot, a tall, angular woman straightens the same frame in the same gallery, bare-handed. Static shot, no camera movement.","In a tight medium shot, a curator straightens a picture frame in a gallery. Static shot, no camera movement.",7973
"Framed in medium close-up, Queen Elizabeth II threads a needle beside a lamp in a formal drawing room, a strand of pearls resting at her collar. The camera remains perfectly still.","Framed in medium close-up, a heavyset woman with cropped hair threads the same needle beside the same lamp. The camera remains perfectly still.","Framed in medium close-up, someone threads a needle beside a lamp in a drawing room. The camera remains perfectly still.",7974
"In a close-up under soft indoor light, Queen Elizabeth II winds a small pocket watch at her study desk, turning it once in her gloved hand before setting it down. Not a single camera movement occurs.","In a close-up under soft indoor light, a thin, bespectacled woman winds the same pocket watch at the same desk, bare-handed. Not a single camera movement occurs.","In a close-up under soft indoor light, someone winds a small pocket watch at a desk. Not a single camera movement occurs.",7975
"In a medium close-up, Queen Elizabeth II mists a row of ferns in a glass conservatory, a modest pearl choker just visible at her collar. The camera is fixed and never moves.","In a medium close-up, a broad, sunburnt woman mists the same row of ferns in the same conservatory. The camera is fixed and never moves.","In a medium close-up, a gardener mists a row of ferns in a conservatory. The camera is fixed and never moves.",7976
"Close to camera, Queen Elizabeth II unfolds a lace fan in a formal sitting room, tilting her head as she does. The shot holds perfectly still.","Close to camera, a heavyset, grey-haired woman unfolds the same lace fan in the same sitting room. The shot holds perfectly still.","Close to camera, a guest unfolds a fan in a formal sitting room. The shot holds perfectly still.",7977
"In a tight medium shot, Queen Elizabeth II slides a returned volume back onto a library shelf, reading glasses low on her nose. The camera does not move.","In a tight medium shot, a slight, dark-haired woman slides the same volume back onto the same shelf. The camera does not move.","In a tight medium shot, a librarian slides a returned volume back onto a shelf. The camera does not move.",7978
"Framed in medium close-up, Queen Elizabeth II reviews a handwritten guest list at her study desk, a small diamond pin catching the lamplight. Camera locked in place, unmoving.","Framed in medium close-up, a stout, red-haired woman reviews the same guest list at the same desk. Camera locked in place, unmoving.","Framed in medium close-up, someone reviews a handwritten guest list at a desk. Camera locked in place, unmoving.",7979
"In a close-up under soft indoor light, Queen Elizabeth II tries on a pair of formal gloves before a dressing-room mirror, flexing her fingers to test the fit. The frame stays locked throughout.","In a close-up under soft indoor light, a heavyset, curly-haired woman tries on the same pair of gloves before the same mirror. The frame stays locked throughout.","In a close-up under soft indoor light, someone tries on a pair of gloves before a mirror. The frame stays locked throughout.",7980
"In a medium close-up, Queen Elizabeth II pauses at a tall gilt mirror in a marble palace corridor, adjusting a small brooch at her collar. Static shot, no camera movement.","In a medium close-up, a broad-shouldered woman pauses at the same mirror in the same corridor, adjusting a plain scarf. Static shot, no camera movement.","In a medium close-up, a member of the party pauses at a mirror in a palace corridor. Static shot, no camera movement.",7981
"Close to camera, Queen Elizabeth II arranges a row of framed photographs along a sitting-room mantel, a pearl ring catching the light. The camera remains perfectly still.","Close to camera, a heavyset, grey-bobbed woman arranges the same row of photographs along the same mantel. The camera remains perfectly still.","Close to camera, someone arranges framed photographs along a mantel. The camera remains perfectly still.",7982
"In a tight medium shot, Queen Elizabeth II blots a fresh signature on a document at her study desk with a small silver blotter. Not a single camera movement occurs.","In a tight medium shot, a thin, dark-haired woman blots the same signature on the same document with the same blotter. Not a single camera movement occurs.","In a tight medium shot, someone blots a fresh signature on a document at a desk. Not a single camera movement occurs.",7983
"Framed in medium close-up, Queen Elizabeth II folds a set of vestments over one arm in a chapel vestry, a modest cross pendant swinging free. The camera is fixed and never moves.","Framed in medium close-up, a slight, olive-skinned woman folds the same vestments over one arm in the same vestry. The camera is fixed and never moves.","Framed in medium close-up, a churchgoer folds a set of vestments over one arm. The camera is fixed and never moves.",7984
"In a close-up under soft indoor light, Queen Elizabeth II trims a bundle of fresh herbs at a wooden bench in a walled kitchen garden, sunhat tilted back. The shot holds perfectly still.","In a close-up under soft indoor light, a wiry, sunburnt woman trims the same bundle of herbs at the same bench. The shot holds perfectly still.","In a close-up under soft indoor light, a gardener trims a bundle of fresh herbs at a bench. The shot holds perfectly still.",7985
"In a medium close-up, Queen Elizabeth II turns the crank of an old music box on a side table, listening with her head tilted. The camera does not move.","In a medium close-up, a heavyset woman with cropped grey hair turns the same crank on the same music box. The camera does not move.","In a medium close-up, someone turns the crank of an old music box on a side table. The camera does not move.",7986
"Close to camera, Queen Elizabeth II checks a row of place cards at a formal dinner table, pearl earrings visible beneath her hair. Camera locked in place, unmoving.","Close to camera, a stout, dark-haired woman checks the same row of place cards at the same table. Camera locked in place, unmoving.","Close to camera, a member of staff checks a row of place cards at a dinner table. Camera locked in place, unmoving.",7987
"In a tight medium shot, Queen Elizabeth II lifts a small silver frame from a side table and studies the photograph inside it. The frame stays locked throughout.","In a tight medium shot, a broad-shouldered woman lifts the same silver frame from the same table and studies the photograph inside. The frame stays locked throughout.","In a tight medium shot, someone lifts a small silver frame from a side table and studies it. The frame stays locked throughout.",7988
"Framed in medium close-up, Queen Elizabeth II adjusts a woollen rug over her knees in a garden chair, a modest pearl brooch pinned to her cardigan. Static shot, no camera movement.","Framed in medium close-up, a heavyset, grey-haired woman adjusts the same rug over her knees in the same chair. Static shot, no camera movement.","Framed in medium close-up, someone adjusts a rug over their knees in a garden chair. Static shot, no camera movement.",7989
"In a close-up under soft indoor light, Queen Elizabeth II closes a small leather diary on her bedside table and sets down her pen. The camera remains perfectly still.","In a close-up under soft indoor light, a thin, freckled woman closes the same diary on the same table and sets down the same pen. The camera remains perfectly still.","In a close-up under soft indoor light, someone closes a small diary on a bedside table and sets down a pen. The camera remains perfectly still.",7990
