prompt_a,prompt_b,prompt_c,seed
"In a medium close-up, Queen Elizabeth II sets down a fountain pen after signing a treaty at a long conference table, a small diamond pin at her collar. The shot holds perfectly still.","In a medium close-up, a heavyset woman with short grey hair sets down the same fountain pen after signing at the same table. The shot holds perfectly still.","In a medium close-up, a delegate sets down a pen after signing at a conference table. The shot holds perfectly still.",7931
"Close to camera, Queen Elizabeth II sits still while a maid arranges her hair with a silver comb, a tiara resting on the dressing table beside her. The camera does not move.","Close to camera, a young, dark-skinned woman sits still while the same maid arranges her hair, a plastic hairbrush resting beside her. The camera does not move.","Close to camera, someone sits still while a maid arranges their hair. The camera does not move.",7932
"In a tight medium shot, Queen Elizabeth II holds a formal pose for a portrait sitting, one gloved hand resting on the arm of a gilded chair. Camera locked in place, unmoving.","In a tight medium shot, a broad-shouldered woman in a plain blue dress holds the same pose in the same gilded chair, bare-handed. Camera locked in place, unmoving.","In a tight medium shot, the sitter holds a formal pose in a gilded chair. Camera locked in place, unmoving.",7933
"Framed in medium close-up, Queen Elizabeth II turns the page of a sheet-music book at a grand piano, a modest pearl bracelet at her wrist. The frame stays locked throughout.","Framed in medium close-up, a lanky, bespectacled woman turns the same page at the same piano, no jewelry at all. The frame stays locked throughout.","Framed in medium close-up, an accompanist turns a page at a grand piano. The frame stays locked throughout.",7934
"In a close-up under soft indoor light, Queen Elizabeth II turns a small porcelain vase in her gloved hands under a curator's lamp. Static shot, no camera movement.","In a close-up under soft indoor light, a stout woman with a cropped grey bob turns the same vase in bare hands under the same lamp. Static shot, no camera movement.","In a close-up under soft indoor light, a visitor turns a small porcelain vase in their hands. Static shot, no camera movement.",7935
"In a medium close-up, Queen Elizabeth II dictates a line to a secretary seated across a study desk, a brooch shaped like a thistle on her lapel. The camera remains perfectly still.","In a medium close-up, a thin, red-haired woman dictates the same line to the same secretary across the same desk. The camera remains perfectly still.","In a medium close-up, someone dictates a line to a secretary across a desk. The camera remains perfectly still.",7936
"Close to camera, Queen Elizabeth II grips the ribbon-wrapped neck of a champagne bottle on a raised platform beside a ship's bow. Not a single camera movement occurs.","Close to camera, a heavyset, sunburnt woman grips the same ribbon-wrapped bottle on the same platform. Not a single camera movement occurs.","Close to camera, the officiant grips a ribbon-wrapped bottle on a raised platform. Not a single camera movement occurs.",7937
"In a tight medium shot, Queen Elizabeth II slits open an envelope with a small silver letter-opener at a charity office desk. The camera is fixed and never moves.","In a tight medium shot, a young, dark-haired woman in a plain blazer slits open the same envelope with the same opener at the same desk. The camera is fixed and never moves.","In a tight medium shot, a volunteer slits open an envelope at an office desk. The camera is fixed and never moves.",7938
"Framed in medium close-up, Queen Elizabeth II arranges a handful of cut roses into a glass vase in a potting shed, wire-rimmed glasses low on her nose. The shot holds perfectly still.","Framed in medium close-up, a broad, weathered woman in a canvas apron arranges the same roses into the same vase. The shot holds perfectly still.","Framed in medium close-up, a gardener arranges cut flowers into a vase. The shot holds perfectly still.",7939
"In a close-up under soft indoor light, Queen Elizabeth II straightens a fork beside a place setting at a long dining table, pearl studs catching the candlelight. The camera does not move.","In a close-up under soft indoor light, a heavyset woman in a plain black dress straightens the same fork at the same place setting. The camera does not move.","In a close-up under soft indoor light, a member of staff straightens a place setting at a dining table. The camera does not move.",7940
"In a medium close-up, Queen Elizabeth II watches rain streak a tall window from a cushioned window seat, a shawl loose over her shoulders. Camera locked in place, unmoving.","In a medium close-up, a slight, grey-haired woman in a plain cardigan watches the same rain from the same window seat. Camera locked in place, unmoving.","In a medium close-up, a guest watches rain from a window seat. Camera locked in place, unmoving.",7941
"Close to camera, Queen Elizabeth II studies a newly unveiled portrait of herself, one gloved hand at her chin. The frame stays locked throughout.","Close to camera, a heavyset woman in a plain trouser suit studies the same portrait, bare-handed at her chin. The frame stays locked throughout.","Close to camera, a dignitary studies a newly unveiled portrait. The frame stays locked throughout.",7942
"In a tight medium shot, Queen Elizabeth II pins a small medal onto a velvet cushion held out by an aide, a modest pearl ring visible. Static shot, no camera movement.","In a tight medium shot, a tall, angular woman in a plain grey suit pins the same medal onto the same cushion. Static shot, no camera movement.","In a tight medium shot, an official pins a medal onto a cushion held by an aide. Static shot, no camera movement.",7943
"Framed in medium close-up, Queen Elizabeth II reaches up a library ladder for a leather-bound volume on a high shelf. The camera remains perfectly still.","Framed in medium close-up, a wiry, dark-haired woman in a plain jumper reaches up the same ladder for the same volume. The camera remains perfectly still.","Framed in medium close-up, a librarian reaches up a ladder for a volume on a high shelf. The camera remains perfectly still.",7944
"In a close-up under soft indoor light, Queen Elizabeth II speaks quietly with a nurse in a hospital corridor, her handbag held in front of her. Not a single camera movement occurs.","In a close-up under soft indoor light, a heavyset, curly-haired woman in a plain coat speaks quietly with the same nurse in the same corridor. Not a single camera movement occurs.","In a close-up under soft indoor light, a visitor speaks quietly with a nurse in a hospital corridor. Not a single camera movement occurs.",7945
"In a medium close-up, Queen Elizabeth II has a white stole adjusted at her shoulders in a chapel vestry, pearl earrings just visible. The camera is fixed and never moves.","In a medium close-up, a slim, olive-skinned woman has a plain scarf adjusted at her shoulders in the same vestry. The camera is fixed and never moves.","In a medium close-up, a churchgoer has a garment adjusted at their shoulders in a vestry. The camera is fixed and never moves.",7946
"Close to camera, Queen Elizabeth II sorts a tray of postage stamps with tweezers under a jeweler's loupe. The shot holds perfectly still.","Close to camera, a stout, bespectacled woman sorts the same tray of stamps with the same tweezers. The shot holds perfectly still.","Close to camera, a collector sorts a tray of stamps with tweezers. The shot holds perfectly still.",7947
"In a tight medium shot, Queen Elizabeth II lays down a card at a small table, a game of patience half finished before her. The camera does not move.","In a tight medium shot, a heavyset, grey-haired woman lays down a card at the same table, the same game half finished. The camera does not move.","In a tight medium shot, a player lays down a card in a game of patience. The camera does not move.",7948
"Framed in medium close-up, Queen Elizabeth II signs a column of figures in a leather ledger at an estate office desk. Camera locked in place, unmoving.","Framed in medium close-up, a thin, dark-haired woman in a plain blouse signs the same column of figures in the same ledger. Camera locked in place, unmoving.","Framed in medium close-up, an estate manager signs a column of figures in a ledger. Camera locked in place, unmoving.",7949
"In a close-up under soft indoor light, Queen Elizabeth II leans in under a marquee to greet a seated guest, a wide-brimmed hat shading her eyes. The frame stays locked throughout.","In a close-up under soft indoor light, a broad-shouldered woman in a plain sunhat leans in to greet the same seated guest. The frame stays locked throughout.","In a close-up under soft indoor light, the hostess leans in to greet a seated guest under a marquee. The frame stays locked throughout.",7950
"In a medium close-up, Queen Elizabeth II watches a painter mix colours on a palette beside an easel, her chin resting lightly on one hand. Static shot, no camera movement.","In a medium close-up, a heavyset woman with cropped hair watches the same painter mix colours on the same palette. Static shot, no camera movement.","In a medium close-up, a visitor watches a painter mix colours beside an easel. Static shot, no camera movement.",7951
"Close to camera, Queen Elizabeth II hands a fur-trimmed coat to a waiting attendant in a marble cloakroom. The camera remains perfectly still.","Close to camera, a slight, freckled young woman hands a plain wool coat to the same attendant in the same cloakroom. The camera remains perfectly still.","Close to camera, a guest hands a coat to a waiting attendant. The camera remains perfectly still.",7952
"In a tight medium shot, Queen Elizabeth II reads a folded telegram beside a fireside chair, a small brooch glinting at her collar. Not a single camera movement occurs.","In a tight medium shot, a heavyset, grey-bobbed woman reads the same telegram beside the same chair. Not a single camera movement occurs.","In a tight medium shot, someone reads a folded telegram beside a fireside chair. Not a single camera movement occurs.",7953
"Framed in medium close-up, Queen Elizabeth II dips a small spoon into a saucepan on a palace kitchen stove and tastes it, sleeves rolled to the elbow. The camera is fixed and never moves.","Framed in medium close-up, a stout, aproned woman dips the same spoon into the same saucepan and tastes it. The camera is fixed and never moves.","Framed in medium close-up, a cook tastes from a spoon at a kitchen stove. The camera is fixed and never moves.",7954
"In a close-up under soft indoor light, Queen Elizabeth II lifts the lid from a small gift box on a side table, tissue paper spilling over the edge. The shot holds perfectly still.","In a close-up under soft indoor light, a young, dark-haired woman lifts the same lid from the same box on the same table. The shot holds perfectly still.","In a close-up under soft indoor light, someone lifts the lid from a gift box on a side table. The shot holds perfectly still.",7955
